report_id;study_id;treatment_id;t_type;t_program;t_name;t_desc;t_prac_form;t_prac_inform;t_deliver;t_session_no;t_session_l;t_add;t_total_wks;t_attend;t_ho;t_ho_l;t_ho_average;t_ho_SD;t_n_base;t_harm,,,,,,,,,,
"1;1;1;1;2;MBCT;full description by Segal et al. (39) ;""body scan; sitting meditation; stretch & breath; mindful movement; working with difficulty; 3 min breathing space (from Segal et al.)"";""raisin exercise; mindful walking (Segal et al.)"";1;12;60;2;12;NA;1;NA;NA;NA;15;NA",,,,,,,,,,
"2;2;1;1;1;mindfulness intervention;""diet/exercise guidelines; meditation practices modeled on MBSR"," mindful eating pactices modeled on Mindfulness-based Eating Awareness Training program"";""sitting meditation (awareness of breath", thoughts, feelings, sounds," and body sensations); loving kindness; yoga postures; walking meditation"";awareness of eating;1;16;150;1;22;74% attended 12/17 classes;1;30;71.3;50.9;100;""not systematically; no adverse events throughout the study"," pg 190""",,,,
"4;3;1;1;7;mindfulness therapy (MT);""20 treatment days in cognitive intensive outpatient program before -> then MT; the focus was on learning mindfulness practice. All of the participants in this track engaged in three hour mindfulness",,,,,,,,,,
education and practice and listened daily to a 30-minute CD which consisted of mindful breathing exercises,,,,,,,,,,
and focused on sensations in various parts of their bodies with awareness and non-judgment. Patients were,,,,,,,,,,
further educated to mindfulness principles of letting go, staying in the present, and viewing thoughts as mental,,,,,,,,
"events and not facts"";NA;NA;1;4;180;2;4;NA;1;30;NA;NA;NA;NA",,,,,,,,,,
"5;4;1;1;7;group based MBSR;""Adapted MBSR for anxiety disorders followed a manualized protocol3",,,,,,,,,,
writtenprimarily by the first author (J.J.A.) in collaborationwith,,,,,,,,,,
three experienced MBSR instructors. The manual largely reflected,,,,,,,,,,
MBSR protocols from the University of Massachusetts Center for,,,,,,,,,,
Mindfulness (Kabat-Zinn,1990). In contrast to officialMBSR, however,,,,,,,,
our adapted MBSR manual reflected patient and provider concerns,,,,,,,,,,
from previous MBSR groups at the San Diego VA that group sessions,,,,,,,,,,
the retreat, and homework were too long to sustain veterans’ attention,,,,,,,,,
"4"";""raisin exercise; body scan; sitting meditation; mindful yoga; 3 minute breathing space; brief loving kindness meditation"";NA;1;10;90;1;10;""MBSR M= 5.64", SD= 2.87; CBT M= 6.27," SD= 2.82"";1;20-30;NA;NA;NA;NA",,,,,,,,
"6;5;1;1;7;mindfulness meditation;""Mindfulness meditation was used in an attempt to",,,,,,,,,,
uncouple or neutralise the sensory signal of tinnitus,,,,,,,,,,
from the interpretative and behavioural response,,,,,,,,,,
thereby preventing a weak signal having a powerful,,,,,,,,,,
