report_id,study_id,treatment_id,t_type,t_program,t_name,t_desc,goal,format,practice_type,duration,medical_needs,intervention_type
1,1,1,1,2,mindfulness-based cognitive therapy (MBCT),full description by Segal et al. (39)  body scan; sitting meditation; stretch & breath; mindful movement; working with difficulty; 3 min breathing space (from Segal et al.)           ,prevent relapse,individual,cognitive,variable,general mental health,therapy
2,2,1,1,1,mindfulness based stress reduction (MBSR),diet/exercise guidelines; meditation practices modeled on MBSR            ,stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
4,3,1,1,7,mindfulness-based training (MBT),"20 treatment days in cognitive intensive outpatient program before -> then MT; the focus was on learning mindfulness practice. All of the participants in this track engaged in three hour mindfulness education and practice and listened daily to a 30-minute CD which consisted of mindful breathing exercises and focused on sensations in various parts of their bodies with awareness and non-judgment. Patients were further educated to mindfulness principles of letting go  events and not facts""       ",general mindfulness,general,general mindfulness,variable,general mental health,general mindfulness
5,4,1,1,7,mindfulness based stress reduction (MBSR),Adapted MBSR for anxiety disorders followed a manualized protocol3 written primarily by the first author (J.J.A.) in collaborationwith three experienced MBSR instructors. The manual largely reflected MBSR protocols from the University of Massachusetts Center for Mindfulness (Kabat-Zinn our adapted MBSR manual reflected patient and provider concerns from previous MBSR groups at the San Diego VA that group sessions the retreat     ,stress reduction,general,general mindfulness,long-term,general mental health,general mindfulness
6,5,1,1,7,mindfulness meditation program (MM),"Mindfulness meditation was used in an attempt to uncouple or neutralise the sensory signal of tinnitus from the interpretative and behavioural response thereby preventing a weak signal having a powerful conditioned response.""        ",general mindfulness,general,general mindfulness,variable,general mental health,meditation
7,6,1,1,1,brief mindfulness group,"introduction to mindfulness breathing and body scan skills. The second session covered the adverse effects of psychological distress on treatment outcome participantsÃ‚Â’ mindfulness practice experiences (Romcevich et al.  and discussing barriers to using mindfulness skills on the day of the blood test ?2 weeks after down-regulation. The third session included reviewing the contents of the previous two sessions. The fourth session was the same as the third session and took place on the last day of the hormone therapy""   ",general mindfulness,group,general mindfulness,short-term,general mental health,general mindfulness
8,7,1,1,2,mindfulness-based cognitive therapy (MBCT),"We followed the standard protocol for MBCT (Segal et al. patterns and thoughts associated with suicidality and preparation of an action plan to respond to suicidal crisis.""         ",prevent relapse,individual,cognitive,variable,general mental health,therapy
9,8,1,1,7,moment-by-moment in women's recovery (MMWR),Students learned about the role of automatic reactivity to stressors and its relation to addiction and relapse; the connections between stress            ,overcome addiction,general,general mindfulness,variable,addiction,general mindfulness
10,9,1,1,7,mindful awareness practices (MAPs) for daily living,"Session titles by week include: (1) Introduction to mindfulness Listening cultivating positive emotions and class wrap-up""         ",general mindfulness,general,general mindfulness,variable,general mental health,general mindfulness
11,10,1,2,7,mantram repetition therapy,"Mantram therapy is based on the premise that silently repeating a mantram (a spiritually related word or phrase selected by each individual from a recommended list) enables users to train attention of the presentmoment are taughtÃ‚Â—Ã‚Â“slowing downÃ‚Â” and Ã‚Â“one-pointed attentionÃ‚Â”Ã‚Â—has been shown to reduce stress and increase emotional selfregulation (13Ã‚Â–17). Participants were encouraged to practice all three skills as often as possible to interrupt stressful thoughts symptoms such as hyperarousal flashbacks events substance abuse relapse and inpatient detoxification).""",general mindfulness,individual,mantra,variable,general mental health,therapy
